loss,poison loss,clean loss,acc,poison acc,clean acc,xloss,uloss,lambda_u
8.438069243180124,8.525831858317057,8.437856172260485,0.5993871249650654,0.0555555562178293,0.6007567448051352,,,
8.438069243180124,8.525831858317057,8.437856172260485,0.5993871249650654,0.0555555562178293,0.6007567448051352,,,
7.992572357780055,8.504538027445475,7.991050920988384,0.7638364308758786,0.0833333333333333,0.7657851953255502,,,
6.415031684072394,8.591443628072739,6.408730908444054,0.7527247071266174,0.09375,0.7547789780717147,,,
4.263248154991551,9.090084075927734,4.247832637084158,0.7669446907545391,0.0666666666666666,0.7692278372614008,,,
3.118598699569702,9.229801691495457,3.100208219728972,0.7689835491933321,0.0384615384615384,0.7711830703835738,,,
2.6413164891694723,9.576132595539091,2.621361782676295,0.7796865262483296,0.03125,0.781823522166202,,,
2.3644060712111625,9.59552001953125,2.342356832403885,0.8102340196308336,0.0588235294117647,0.8125640875414798,,,
2.167748633183931,9.63020498411996,2.145466553537469,0.8211425887910944,0.0357142857142857,0.8234734096025166,,,
2.039279642858004,9.449498391151428,2.0171925770609,0.8233772861330133,0.0666666666666666,0.8256573457466928,,,
1.9467200103559,9.47210119565328,1.9241333258779425,0.8283334374427795,0.0666666666666666,0.8306314066836709,,,
1.9090832471847528,9.536744307726622,1.883756342687105,0.8278243322121469,0.0625,0.8303905568624798,,,
1.8744592666625977,10.100595277898451,1.8495347499847408,0.8276041150093079,0.0147058823529411,0.830069435270209,,,
1.8381036582746004,9.66454796931323,1.8132367510544627,0.8312239176348636,0.0588235294117647,0.8336933255195618,,,
1.8105419874191284,10.127104062300464,1.7869569878829152,0.8325748914166501,0.0384615384615384,0.8348512053489685,,,
1.803373882645055,9.647081278264524,1.7798832153019153,0.8304726512808549,0.0625,0.8327722078875491,,,
1.796558191901759,9.672774329781532,1.7723361441963597,0.8299464834363837,0.0588235294117647,0.8323132740823846,,,
1.7692647921411615,9.75027012079954,1.745520045882777,0.8346994801571495,0.0625,0.8370082566612645,,,
